"From                     	                          To","Player  (163)","Pos","Yrs","Value                                                                         $2,987,010,000","AAV                                                                         $12,819,785"
"STL","Keynan Middleton","RP","1","$6,000,000","$6,000,000"
"CHW","John Brebbia","RP/SU8","1","$5,500,000","$5,500,000"
"MIN","Carlos Santana","1B/DH","1","$5,250,000","$5,250,000"
"KC","Will Smith","RP/CL","1","$5,000,000","$5,000,000"
"PIT","Andrew McCutchen","RF/RF","1","$5,000,000","$5,000,000"
"WSH","Joey Gallo","1B/OF","1","$5,000,000","$5,000,000"
"MIA","Tim Anderson","SS","1","$5,000,000","$5,000,000"
"DET","Andrew Chafin","RP/CL","1","$4,750,000","$4,750,000"
"SD","Woo-Suk Go","RP","2","$4,500,000","$2,250,000"
"NYM","Adam Ottavino","RP/SU8","1","$4,500,000","$4,500,000"
"KC","Adam Frazier","2B/RF/DH","1","$4,500,000","$4,500,000"
"TEX","Michael Lorenzen","SP/SP4","1","$4,500,000","$4,500,000"
"LAA","Luis Garcia","RP/SU8","1","$4,250,000","$4,250,000"
"CHW","Martin Maldonado","C","1","$4,250,000","$4,250,000"
"CLE","Austin Hedges","C","1","$4,000,000","$4,000,000"
"LAD","Enrique Hernandez","SS/OF","1","$4,000,000","$4,000,000"
"SEA","Ryne Stanek","RP","1","$4,000,000","$4,000,000"
"PIT","Michael A. Taylor","CF","1","$4,000,000","$4,000,000"
"NYM","Shintaro Fujinami","RP","1","$3,350,000","$3,350,000"
"DET","Shelby Miller","RP/SU7","1","$3,250,000","$3,250,000"
"PIT","Rowdy Tellez","1B","1","$3,200,000","$3,200,000"
"MIL","Gary Sánchez","C/C","1","$3,000,000","$3,000,000"
"ATL","Adam Duvall","RF","1","$3,000,000","$3,000,000"
"CHW","Mike Clevinger","SP/SP4","1","$3,000,000","$3,000,000"
"CIN","Brent Suter","RP","1","$3,000,000","$3,000,000"
"NYM","Julio Teherán","SP","1","$2,500,000","$2,500,000"
"PIT","Yasmani Grandal","C","1","$2,500,000","$2,500,000"
"OAK","J.D. Davis","3B/LF","1","$2,500,000","$2,500,000"
"CIN","Buck Farmer","RP","1","$2,250,000","$2,250,000"
"WSH","Dylan Floro","RP/CL","1","$2,250,000","$2,250,000"
"OAK","Scott Alexander","RP","1","$2,250,000","$2,250,000"
"NYY","Luke Weaver","SP","1","$2,000,000","$2,000,000"
"KC","Garrett Hampson","SS","1","$2,000,000","$2,000,000"
"WSH","Nick Senzel","CF/3B","1","$2,000,000","$2,000,000"
"PHI","Spencer Turnbull","SP","1","$2,000,000","$2,000,000"
"COL","Jacob Stallings","C","1","$2,000,000","$2,000,000"
"NYM","Joey Wendle","3B","1","$2,000,000","$2,000,000"
"NYM","Jorge López","RP/SU8","1","$2,000,000","$2,000,000"
"ARI","Randal Grichuk","RF","1","$2,000,000","$2,000,000"
"STL","Brandon Crawford","SS","1","$2,000,000","$2,000,000"
"TEX","Andrew Knizner","C","1","$1,825,000","$1,825,000"
"CHW","Tim Hill","RP","1","$1,800,000","$1,800,000"
"MIL","Joe Ross","SP","1","$1,750,000","$1,750,000"
"CHW","Chris Flexen","RP/SP","1","$1,750,000","$1,750,000"
"CHW","Paul DeJong","SS","1","$1,750,000","$1,750,000"
"LAA","Jose Cisnero","RP","1","$1,750,000","$1,750,000"
"TEX","Travis Jankowski","LF","1","$1,700,000","$1,700,000"
"LAA","Adam Cimber","RP","1","$1,650,000","$1,650,000"
"MIN","Jay Jackson","RP","1","$1,500,000","$1,500,000"
"OAK","Trevor Gott","RP/SU7","1","$1,500,000","$1,500,000"
"NYY","Lou Trivino","RP","1","$1,500,000","$1,500,000"
"COL","Dakota Hudson","RP","1","$1,500,000","$1,500,000"
"TB","Amed Rosario","SS","1","$1,500,000","$1,500,000"
"DET","Giovanny Urshela","3B/1B","1","$1,500,000","$1,500,000"
"BOS","Chase Anderson","SP","1","$1,250,000","$1,250,000"
"SEA","Austin Voth","SP","1","$1,250,000","$1,250,000"
"TB","Chris Devenski","RP","1","$1,100,000","$1,100,000"
"ATL","Luis Guillorme","SS","1","$1,100,000","$1,100,000"
"LAA","Zach Plesac","SP/SP3","1","$1,000,000","$1,000,000"
"BOS","Cooper Criswell","RP","1","$1,000,000","$1,000,000"
"SD","Jurickson Profar","LF","1","$1,000,000","$1,000,000"
"SF","Curt Casali","C","1","$1,000,000","$1,000,000"
"NYM","Michael Tonkin","RP","1","$1,000,000","$1,000,000"
"PHI","Kolby Allard","SP","1","$1,000,000","$1,000,000"
"MIL","Eric Haase","C","1","$1,000,000","$1,000,000"
"BAL","Tony Kemp","2B/CF","1","$1,000,000","$1,000,000"
"KC","Austin Nola","C","1","$975,000","$975,000"
"CIN","Austin Wynns","C","1","$950,000","$950,000"
"MIN","Josh Staumont","RP","1","$950,000","$950,000"
"LAA","Adam Kolarek","RP","1","$900,000","$900,000"
"LAD","Ricky Vanasco","SP","1","$900,000","$900,000"
"PIT","Josh Fleming","SP","1","$850,000","$850,000"
"NYM","Austin Adams","RP","1","$800,000","$800,000"
"NYY","Cody Poteet","SP","1","$750,000","$750,000"
"OAK","Osvaldo Bido","SP","1","$750,000","$750,000"
"CLE","Ben Lively","SP","1","$750,000","$750,000"
"BOS","Brad Keller","SP","1","$740,000","$740,000"
"ATL","Angel Perdomo","RP","1","$740,000","$740,000"
"LAA","Aaron Hicks","CF","1","$740,000","$740,000"
"STL","Matt Carpenter","3B/1B","1","$740,000","$740,000"
"ATL","Joey Wendle","3B","0","$0",""
"CIN","Mike Ford","1B","0","$0",""
"CHC","Tomás Nido","C","0","$0",""
"NYM","Logan Porter","C","0","$0",""
"SF","Drew Pomeranz","RP","0","$0",""
"SF","Andrew Knapp","C","0","$0",""
"ARI","Luis Guillorme","SS","0","$0",""
"CIN","Dominic Smith","1B/LF","0","$0",""
"ATL","Giovanny Urshela","1B/3B/SS","0","$0",""
"ATL","Whit Merrifield","RF/2B","0","$0",""
"LAA","Kevin Pillar","CF","0","$0",""
"HOU","Hector Neris","RP/SU8","0","$0",""
"NYY","Tim Hill","RP","0","$0",""
"CHW","Nick Senzel","CF/3B","0","$0",""
"HOU","Jason Heyward","RF/RF/CF/CF","0","$0",""
"ATL","Jackson Stephens","RP","0","$0",""
"ATL","Penn Murfee","RP","0","$0",""
"PIT","Ali Sanchez","C","0","$0",""
"HOU","Jason Heyward","RF/RF/CF/CF","0","$0",""
"TEX","Kirby Yates","RP","0","$0",""

