"From                     	                          To","Player  (157)","Pos","Yrs","Value                                                                         $1,429,725,000","AAV                                                                         $6,270,724"
"SEA","Kelly Shoppach","C","1","$1,500,000","$1,500,000"
"COL","Jeff Francis","SP","1","$1,500,000","$1,500,000"
"COL","Chris Volstad","RP","1","$1,500,000","$1,500,000"
"TEX","Jason Frasor","RP","1","$1,500,000","$1,500,000"
"MIL","Álex González","SS","1","$1,450,000","$1,450,000"
"CHC","Shawn Camp","RP","1","$1,350,000","$1,350,000"
"ARI","Eric Hinske","1B/LF/RF","1","$1,350,000","$1,350,000"
"TB","Kyle Farnsworth","RP","1","$1,250,000","$1,250,000"
"HOU","Ronny Cedeno","SS/2B","1","$1,150,000","$1,150,000"
"STL","Ronny Cedeno","SS/2B","1","$1,150,000","$1,150,000"
"PHI","Chad Durbin","RP","1","$1,100,000","$1,100,000"
"SEA","Kameron Loe","RP","1","$1,050,000","$1,050,000"
"CLE","Scott Kazmir","SP","1","$1,000,000","$1,000,000"
"CIN","Manny Parra","RP","1","$1,000,000","$1,000,000"
"CLE","Ryan Raburn","LF/RF","1","$1,000,000","$1,000,000"
"LAD","Brian Wilson","RP","1","$1,000,000","$1,000,000"
"SEA","Jason Bay","RF","1","$1,000,000","$1,000,000"
"MIA","Jon Rauch","RP","1","$1,000,000","$1,000,000"
"MIL","Yuniesky Betancourt","1B/SS","1","$900,000","$900,000"
"PHI","Yuniesky Betancourt","1B/SS","1","$900,000","$900,000"
"DET","Brayan Pena","C","1","$875,000","$875,000"
"ARI","Wil Nieves","C","1","$800,000","$800,000"
"TOR","Mark Derosa","3B/LF","1","$750,000","$750,000"
"NYM","Brandon Lyon","RP","1","$750,000","$750,000"
"TOR","Henry Blanco","C","1","$750,000","$750,000"
"PHI","Delmon Young","LF/DH","1","$750,000","$750,000"
"CHW","DeWayne Wise","CF","1","$700,000","$700,000"
"WSH","Zach Duke","RP","1","$700,000","$700,000"
"COL","Jon Garland","SP","1","$500,000","$500,000"
"CHC","Ian Stewart","2B/3B","0","$0",""
"TOR","Chien-Ming Wang","RP","1","$0","$0"
"SEA","Henry Blanco","C","1","$0","$0"
"NYY","Mark Reynolds","3B/1B","1","$0","$0"
"BOS","Anthony Carter","RP","1","$0","$0"
"TEX","Jake Brigham","RP","1","$0","$0"
"MIN","Lester Oliveros","RP","1","$0","$0"
"CIN","Denis Phipps","LF","1","$0","$0"
"OAK","Scott Moore","3B/2B","1","$0","$0"
"CHW","Bryan Anderson","C","1","$0","$0"
"STL","Justin Christian","CF/LF","1","$0","$0"
"MIN","Jeff Clement","1B","1","$0","$0"
"NYM","Michael Nickeas","C","1","$0","$0"
"STL","J.R. Towles","C","1","$0","$0"
"CIN","Mike Hessman","3B","1","$0","$0"
"MIA","Zach Phillips","RP","1","$0","$0"
"WSH","Fernando Abad","RP","1","$0","$0"
"LAD","Alfredo Amézaga","CF","1","$0","$0"
"MIL","Jim Hoey","RP","1","$0","$0"
"LAA","Luke Carlin","C","1","$0","$0"
"LAD","Juan Abreu","RP","1","$0","$0"
"MIA","Matt Downs","3B/2B","1","$0","$0"
"STL","Rob Johnson","C","1","$0","$0"
"TEX","Yoshinori Tateyama","RP","1","$0","$0"
"CLE","Joe Martinez","RP","1","$0","$0"
"NYM","Rick Ankiel","CF","1","$0","$0"
"PHI","Roger Bernadina","LF/CF","0","$0",""
"SD","Jason Marquis","SP","0","$0",""
"HOU","Sergio Escalona","RP","1","$0","$0"
"MIA","Wilson Valdez","2B/SS","0","$0",""
"SEA","Endy Chavez","LF/CF","1","$0","$0"
"PHI","Juan Cruz","RP","0","$0",""
"BAL","Daniel Schlereth","RP","1","$0","$0"
"MIL","Francisco Rodriguez","RP","1","$0","$0"
"WSH","Bill Bray","RP","1","$0","$0"
"NYM","Daisuke Matsuzaka","SP","0","$0",""

