"From                     	                          To","Player  (154)","Pos","Yrs","Value                                                                         $1,786,974,426","AAV                                                                         $7,205,542"
"CHC","Jason Hammel","RP","1","$6,000,000","$6,000,000"
"SEA","Willie Bloomquist","2B/3B/SS","2","$5,800,000","$2,900,000"
"CIN","Manny Parra","RP","2","$5,500,000","$2,750,000"
"STL","Mark Ellis","2B","1","$5,250,000","$5,250,000"
"NYY","Brendan Ryan","1B/SS","2","$5,000,000","$2,500,000"
"CIN","Skip Schumaker","LF/CF","2","$5,000,000","$2,500,000"
"PIT","Edinson Volquez","RP","1","$5,000,000","$5,000,000"
"SF","Ryan Vogelsong","SP","1","$5,000,000","$5,000,000"
"PHI","Roberto Hernandez","RP","1","$4,500,000","$4,500,000"
"TB","Jose Molina","C","2","$4,500,000","$2,250,000"
"BAL","Ryan Webb","RP","2","$4,500,000","$2,250,000"
"ARI","Oliver Perez","RP","2","$4,250,000","$2,125,000"
"KC","Bruce Chen","RP","1","$4,250,000","$4,250,000"
"CHC","Jose Veras","RP","1","$4,000,000","$4,000,000"
"ATL","Gavin Floyd","RP","1","$4,000,000","$4,000,000"
"CHW","Scott Downs","RP","1","$4,000,000","$4,000,000"
"MIA","Jeff Baker","1B/3B","2","$3,700,000","$1,850,000"
"ARI","Eric Chávez","3B/1B","1","$3,500,000","$3,500,000"
"MIA","Rafael Furcal","SS/2B","1","$3,500,000","$3,500,000"
"MIL","Francisco Rodriguez","RP","1","$3,250,000","$3,250,000"
"HOU","Jesse Crain","RP","1","$3,250,000","$3,250,000"
"CHW","Ronald Belisario","RP","1","$3,000,000","$3,000,000"
"NYY","Kelly Johnson","2B","1","$3,000,000","$3,000,000"
"OAK","Nick Punto","SS","1","$3,000,000","$3,000,000"
"LAA","Raúl Ibañez","DH/LF","1","$2,750,000","$2,750,000"
"MIN","Kurt Suzuki","C","1","$2,750,000","$2,750,000"
"CHW","Paul Konerko","1B/DH","1","$2,500,000","$2,500,000"
"DET","Joba Chamberlain","RP","1","$2,500,000","$2,500,000"
"HOU","Matt Albers","RP","1","$2,450,000","$2,450,000"
"LAD","Chris Pérez","RP","1","$2,300,000","$2,300,000"
"CIN","Brayan Pena","C","2","$2,275,000","$1,137,500"
"COL","LaTroy Hawkins","RP/CL","1","$2,250,000","$2,250,000"
"BOS","Chris Capuano","RP","1","$2,250,000","$2,250,000"
"HOU","Jerome Williams","RP","1","$2,100,000","$2,100,000"
"PIT","Clint Barmes","SS","1","$2,000,000","$2,000,000"
"NYY","Brian Roberts","2B","1","$2,000,000","$2,000,000"
"MIL","Mark Reynolds","3B/1B","1","$2,000,000","$2,000,000"
"TEX","Tommy Hanson","SP","1","$2,000,000","$2,000,000"
"LAD","Jamey Wright","RP","1","$1,800,000","$1,800,000"
"TEX","J.P. Arencibia","1B/C","1","$1,800,000","$1,800,000"
"CHW","Felipe Paulino","SP","1","$1,750,000","$1,750,000"
"TB","Juan Carlos Oviedo","RP","1","$1,500,000","$1,500,000"
"TEX","Joe Saunders","SP","1","$1,500,000","$1,500,000"
"LAD","Paul Maholm","RP/SP","1","$1,500,000","$1,500,000"
"CHC","Wesley Wright","RP","1","$1,425,000","$1,425,000"
"MIA","Carlos Mármol","RP","1","$1,250,000","$1,250,000"
"PHI","Wil Nieves","C","1","$1,125,000","$1,125,000"
"MIA","Casey McGehee","3B","1","$1,100,000","$1,100,000"
"CHW","Mitchell Boggs","RP","1","$1,100,000","$1,100,000"
"ATL","Aaron Harang","SP","1","$1,000,000","$1,000,000"
"MIA","Randy Wolf","SP","1","$1,000,000","$1,000,000"
"STL","Pat Neshek","RP","1","$1,000,000","$1,000,000"
"CLE","Shaun Marcum","SP","1","$1,000,000","$1,000,000"
"SEA","Franklin Gutierrez","CF","1","$1,000,000","$1,000,000"
"SEA","John Buck","C","1","$1,000,000","$1,000,000"
"LAD","Justin Turner","3B/1B","1","$1,000,000","$1,000,000"
"DET","Joel Hanrahan","RP","1","$1,000,000","$1,000,000"
"WSH","Kevin Frandsen","3B/1B","1","$900,000","$900,000"
"CHC","John Baker","C","1","$875,000","$875,000"
"BOS","Rich Hill","SP","1","$840,000","$840,000"
"CHC","Chris Coghlan","LF","1","$800,000","$800,000"
"TEX","Adam Rosales","2B/SS/3B","1","$750,000","$750,000"
"BAL","Francisco Peguero","RF","1","$550,000","$550,000"
"BAL","Edgmer Escalona","RP","1","$550,000","$550,000"
"SD","Tony Sipp","RP","1","$500,000","$500,000"
"HOU","Tony Sipp","RP","1","$500,000","$500,000"
"KC","Scott Downs","RP","0","$0",""
"PIT","Jayson Nix","2B","0","$0",""
"BOS","Andrés Torres","CF","1","$0","$0"
"MIL","Jeremy Jeffress","RP","1","$0","$0"
"HOU","Kyle Farnsworth","RP","1","$0","$0"
"CHW","Tommy Hanson","SP","1","$0","$0"
"CHC","Aaron Cunningham","LF","1","$0","$0"
"CHC","Chris Valaika","2B","1","$0","$0"
"CHC","Lars Anderson","1B","1","$0","$0"
"LAA","John Buck","C","1","$0","$0"
"KC","Raúl Ibañez","DH/LF","1","$0","$0"
"ATL","Yunesky Maya","RP","1","$0","$0"
"SF","Sandy Rosario","RP","1","$0","$0"
"CHC","Chang-yong Lim","RP","1","$0","$0"
"STL","A.J. Pierzynski","C","0","$0",""
"CLE","Matt Carson","LF","1","$0","$0"
"CLE","Tyler Cloyd","RP","1","$0","$0"
"SF","Kameron Loe","RP","1","$0","$0"
"NYY","Robert Coello","RP","1","$0","$0"
"ARI","Shelley Duncan","LF/1B","1","$0","$0"
"CHW","Jairo Asencio","RP","1","$0","$0"
"CHW","Brian Omogrosso","RP","1","$0","$0"
"SD","Rob Johnson","C","1","$0","$0"
"BAL","Xavier Paul","LF","1","$0","$0"
"BOS","Ryan Roberts","2B/3B","1","$0","$0"
"SEA","Endy Chavez","LF/CF","1","$0","$0"
"BOS","Scott Cousins","RF/CF","1","$0","$0"
"NYY","Scott Sizemore","2B","1","$0","$0"
"CLE","John Axford","RP","0","$0",""
"BOS","Grady Sizemore","RF","0","$0",""
"COL","Rafael Betancourt","RP","1","$0","$0"

