"From                     	                          To","Player  (135)","Pos","Yrs","Value                                                                         $1,296,090,377","AAV                                                                         $7,043,969"
"CIN","Ryan Ludwick","LF","1","$3,000,000","$3,000,000"
"BOS","Nick Punto","SS","2","$3,000,000","$1,500,000"
"MIN","Jason Marquis","SP","1","$3,000,000","$3,000,000"
"MIA","Greg Dobbs","1B","2","$3,000,000","$1,500,000"
"BOS","Cody Ross","RF/CF","1","$3,000,000","$3,000,000"
"CHC","Kerry Wood","RP","1","$3,000,000","$3,000,000"
"CLE","Casey Kotchman","1B","1","$3,000,000","$3,000,000"
"LAA","LaTroy Hawkins","RP/CL","1","$3,000,000","$3,000,000"
"DET","Octavio Dotel","RP","1","$3,000,000","$3,000,000"
"PHI","Laynce Nix","RF/LF","2","$2,500,000","$1,250,000"
"OAK","Bartolo Colon","SP/SP2","1","$2,000,000","$2,000,000"
"KC","Yuniesky Betancourt","1B/SS","1","$2,000,000","$2,000,000"
"NYY","Andruw Jones","LF/RF","1","$2,000,000","$2,000,000"
"COL","Casey Blake","3B","1","$2,000,000","$2,000,000"
"TB","Fernando Rodney","RP","1","$2,000,000","$2,000,000"
"TB","Jose Molina","C","1","$1,800,000","$1,800,000"
"PIT","Nate McLouth","LF","1","$1,750,000","$1,750,000"
"ARI","Takashi Saito","RP","1","$1,750,000","$1,750,000"
"TB","Jeff Keppinger","3B/2B","1","$1,525,000","$1,525,000"
"SEA","Hisashi Iwakuma","SP/SP2","1","$1,500,000","$1,500,000"
"COL","Jeff Francis","SP","1","$1,500,000","$1,500,000"
"BOS","Vincente Padilla","RP","1","$1,500,000","$1,500,000"
"BAL","Endy Chavez","LF/CF","1","$1,500,000","$1,500,000"
"BOS","Kelly Shoppach","C","1","$1,350,000","$1,350,000"
"LAD","Todd Coffey","RP","1","$1,300,000","$1,300,000"
"SD","Mark Kotsay","CF/RF","1","$1,250,000","$1,250,000"
"PHI","Jim Thome","DH/1B","1","$1,250,000","$1,250,000"
"ARI","Henry Blanco","C","1","$1,200,000","$1,200,000"
"PHI","Chad Qualls","RP","1","$1,150,000","$1,150,000"
"NYM","Ronny Cedeno","SS/2B","1","$1,150,000","$1,150,000"
"CHC","Reed Johnson","LF/CF","1","$1,150,000","$1,150,000"
"NYY","Raúl Ibañez","DH/LF","1","$1,100,000","$1,100,000"
"SEA","George Sherrill","RP","1","$1,100,000","$1,100,000"
"NYM","Scott Hairston","RF","1","$1,100,000","$1,100,000"
"SF","Guillermo Mota","RP","1","$1,000,000","$1,000,000"
"ATL","Jack Wilson","2B/SS","1","$1,000,000","$1,000,000"
"ARI","Lyle Overbay","1B","1","$1,000,000","$1,000,000"
"PHI","Dontrelle Willis","SP","1","$1,000,000","$1,000,000"
"OAK","Jonny Gomes","LF/DH","1","$1,000,000","$1,000,000"
"LAD","Mike MacDougal","RP","1","$1,000,000","$1,000,000"
"LAD","Matt Treanor","C","1","$1,000,000","$1,000,000"
"DET","Gerald Laird","C","1","$1,000,000","$1,000,000"
"KC","Jose Mijares","RP","1","$925,000","$925,000"
"BAL","Luis Ayala","RP","1","$925,000","$925,000"
"SD","Ross Ohlendorf","RP","1","$900,000","$900,000"
"CLE","Fred Lewis","LF","1","$900,000","$900,000"
"ATL","Chad Durbin","RP","1","$900,000","$900,000"
"TB","Hideki Matsui","DH/LF","1","$900,000","$900,000"
"NYY","Eric Chávez","3B/1B","1","$900,000","$900,000"
"CLE","Dan Wheeler","RP","1","$900,000","$900,000"
"CLE","José López","3B/2B","1","$800,000","$800,000"
"WSH","Mark Derosa","3B/LF","1","$800,000","$800,000"
"LAD","Adam Kennedy","2B","1","$800,000","$800,000"
"MIN","Joel Zumaya","RP","1","$800,000","$800,000"
"PHI","Brian Schneider","C","1","$800,000","$800,000"
"MIL","Livan Hernandez","SP","1","$750,000","$750,000"
"HOU","Chris Snyder","C","1","$750,000","$750,000"
"NYM","Miguel Batista","SP","1","$750,000","$750,000"
"STL","J.C. Romero","RP","1","$750,000","$750,000"
"SF","Clay Hensley","RP","1","$750,000","$750,000"
"SF","Eli Whiteside","C","1","$600,000","$600,000"
"CIN","Andrew Brackman","RP","1","$500,000","$500,000"
"SEA","Hong-Chih Kuo","SP","1","$500,000","$500,000"
"NYY","David Aardsma","RP","1","$500,000","$500,000"
"OAK","Brandon Inge","3B","1","$414,066","$414,066"
"LAD","Bobby Abreu","LF/RF","1","$401,311","$401,311"
"SEA","Munenori Kawasaki","SS/2B","0","$0",""
"ARI","Wil Nieves","C","0","$0",""
"CHC","Manny Corpas","RP","0","$0",""
"BAL","Randy Wolf","SP","0","$0",""
"CHW","Donnie Veal","RP","0","$0",""
"ARI","John McDonald","SS/3B/2B","0","$0",""
"SD","Micah Owings","SP/RP","0","$0",""
"CLE","Chris Seddon","RP","0","$0",""
"NYY","Derek Lowe","SP","0","$0",""
"HOU","Livan Hernandez","SP","1","$0","$0"
"ATL","Livan Hernandez","SP","0","$0",""
"SEA","Shawn Camp","RP","0","$0",""
"HOU","Jack Cust","DH","0","$0",""
"CHW","Kosuke Fukudome","RF","0","$0",""
"CHW","Orlando Hudson","3B/2B","0","$0",""
"CIN","Mike Wuertz","RP","0","$0",""
"NYY","Hiroki Kuroda","SP","0","$0",""

