"From                     	                          To","Player  (152)","Pos","Yrs","Value                                                                         $3,900,441,666","AAV                                                                         $13,685,760"
"CHW","Mike Clevinger","SP/SP4","1","$12,000,000","$12,000,000"
"NYY","Tommy Kahnle","RP","2","$11,500,000","$5,750,000"
"SF","Luke Jackson","RP/RF","2","$11,500,000","$5,750,000"
"MIN","Joey Gallo","1B/OF","1","$11,000,000","$11,000,000"
"DET","Matthew Boyd","SP/SP1","1","$10,000,000","$10,000,000"
"NYM","David Robertson","RP/CL","1","$10,000,000","$10,000,000"
"BOS","Corey Kluber","SP/SP3","1","$10,000,000","$10,000,000"
"BAL","Kyle Gibson","SP/SP4","1","$10,000,000","$10,000,000"
"PHI","Craig Kimbrel","RP/CL","1","$10,000,000","$10,000,000"
"LAD","J.D. Martinez","DH/RF","1","$10,000,000","$10,000,000"
"OAK","Jace Peterson","3B","2","$9,500,000","$4,750,000"
"TOR","Brandon Belt","1B","1","$9,300,000","$9,300,000"
"TOR","Kevin Kiermaier","CF","1","$9,000,000","$9,000,000"
"MIA","Johnny Cueto","SP","1","$8,500,000","$8,500,000"
"KC","Zack Greinke","SP/SP2","1","$8,500,000","$8,500,000"
"DET","Michael Lorenzen","SP/SP4","1","$8,500,000","$8,500,000"
"TOR","Chad Green","RP","2","$8,500,000","$4,250,000"
"PIT","Rich Hill","SP","1","$8,000,000","$8,000,000"
"BAL","Adam Frazier","2B/RF/DH","1","$8,000,000","$8,000,000"
"COL","Jurickson Profar","LF","1","$7,750,000","$7,750,000"
"LAA","Matt Moore","RP/SU7","1","$7,550,000","$7,550,000"
"CIN","Wil Myers","1B/RF","1","$7,500,000","$7,500,000"
"BOS","Adam Duvall","RF","1","$7,000,000","$7,000,000"
"OAK","Trevor May","RP/CL","1","$7,000,000","$7,000,000"
"SEA","A.J. Pollock","LF","1","$7,000,000","$7,000,000"
"PIT","Carlos Santana","1B/DH","1","$6,725,000","$6,725,000"
"LAD","David Peralta","LF","1","$6,500,000","$6,500,000"
"ARI","Scott McGough","RP/SU8","2","$6,250,000","$3,125,000"
"ARI","Andrew Chafin","RP/CL","1","$6,250,000","$6,250,000"
"NYM","Tommy Pham","LF","1","$6,000,000","$6,000,000"
"CLE","Mike Zunino","C","1","$6,000,000","$6,000,000"
"ARI","Zach Davies","SP","1","$5,000,000","$5,000,000"
"BAL","Mychal Givens","RP","1","$5,000,000","$5,000,000"
"PIT","Andrew McCutchen","RF/RF","1","$5,000,000","$5,000,000"
"COL","Pierce Johnson","RP/SU8","1","$5,000,000","$5,000,000"
"WSH","Jeimer Candelario","3B","1","$5,000,000","$5,000,000"
"PIT","Austin Hedges","C","1","$5,000,000","$5,000,000"
"MIL","Wade Miley","SP/SP2","1","$4,500,000","$4,500,000"
"CHC","Michael Fulmer","RP","1","$4,000,000","$4,000,000"
"ARI","Evan Longoria","3B","1","$4,000,000","$4,000,000"
"KC","Aroldis Chapman","RP/SU8","1","$3,750,000","$3,750,000"
"MIL","Brian Anderson","3B/RF","1","$3,500,000","$3,500,000"
"ARI","Miguel Castro","RP/SU7","1","$3,500,000","$3,500,000"
"OAK","Shintaro Fujinami","RP","1","$3,250,000","$3,250,000"
"CIN","Curt Casali","C","1","$3,250,000","$3,250,000"
"PIT","Vince Velasquez","SP","1","$3,150,000","$3,150,000"
"OAK","Drew Rucinski","SP","1","$3,000,000","$3,000,000"
"OAK","Jesús Aguilar","1B","1","$3,000,000","$3,000,000"
"CHW","Elvis Andrus","SS","1","$3,000,000","$3,000,000"
"KC","Ryan Yarbrough","SP","1","$3,000,000","$3,000,000"
"CHC","Brad Boxberger","RP/SU8","1","$2,800,000","$2,800,000"
"PIT","Jarlin Garcia","RP","1","$2,500,000","$2,500,000"
"WSH","Corey Dickerson","LF","1","$2,250,000","$2,250,000"
"MIL","Luke Voit","1B","1","$2,000,000","$2,000,000"
"MIN","Donovan Solano","2B/SS","1","$2,000,000","$2,000,000"
"COL","Brad Hand","RP","1","$2,000,000","$2,000,000"
"PHI","Josh Harrison","2B/SS","1","$2,000,000","$2,000,000"
"BOS","Joely Rodriguez","RP","1","$2,000,000","$2,000,000"
"TEX","Robbie Grossman","RF","1","$2,000,000","$2,000,000"
"WSH","Dominic Smith","1B/LF","1","$2,000,000","$2,000,000"
"CIN","Luke Weaver","SP","1","$2,000,000","$2,000,000"
"KC","Jake Brentz","RP","2","$1,900,000","$950,000"
"OAK","Jeurys Familia","RP/CL","1","$1,500,000","$1,500,000"
"LAD","Shelby Miller","RP/SU7","1","$1,500,000","$1,500,000"
"TEX","Will Smith","RP/CL","1","$1,500,000","$1,500,000"
"ATL","Jordan Luplow","RF/LF/1B","1","$1,400,000","$1,400,000"
"LAD","Jimmy Nelson","RP","1","$1,200,000","$1,200,000"
"SEA","Trevor Gott","RP/SU7","1","$1,200,000","$1,200,000"
"LAA","Brett Phillips","RF","1","$1,200,000","$1,200,000"
"CIN","Luke Maile","C","1","$1,175,000","$1,175,000"
"LAD","Alex Reyes","RP","1","$1,100,000","$1,100,000"
"NYY","Franchy Cordero","RF/1B","1","$1,000,000","$1,000,000"
"SD","Nelson Cruz","DH","1","$1,000,000","$1,000,000"
"MIL","Justin Wilson","RP","1","$1,000,000","$1,000,000"
"CHC","Edwin Rios","3B","1","$1,000,000","$1,000,000"
"NYM","Danny Mendick","2B/SS","1","$1,000,000","$1,000,000"
"SD","Adam Engel","RF","1","$1,000,000","$1,000,000"
"ATL","Nick Anderson","RP/SU8","1","$875,000","$875,000"
"BOS","Yu-Cheng Chang","SS","1","$850,000","$850,000"
"ATL","Jackson Stephens","RP","1","$740,000","$740,000"
"MIL","Raimel Tapia","LF","1","$720,000","$720,000"
"STL","Guillo Zuniga","P","1","$720,000","$720,000"
"WSH","Stone Garrett","LF/DH","1","$720,000","$720,000"
"MIL","Darin Ruf","1B/OF","1","$720,000","$720,000"
"LAD","Austin Wynns","C","1","$720,000","$720,000"
"MIL","Blake Perkins","RF","1","$720,000","$720,000"
"TB","Chris Devenski","RP","1","$720,000","$720,000"
"SEA","Luke Weaver","SP","1","$720,000","$720,000"
"TB","Jake Diekman","RP","1","$720,000","$720,000"
"SEA","Tommy La Stella","2B","1","$720,000","$720,000"
"CHC","Eric Hosmer","1B","1","$720,000","$720,000"
"DET","Carson Kelly","C","1","$720,000","$720,000"
"BAL","Aaron Hicks","CF","1","$720,000","$720,000"
"BOS","Jorge Alfaro","C","0","$0",""
"SD","Brent Honeywell","RP","1","$0","$0"
"STL","Ryan Tepera","RP","0","$0",""

