"From                     	                          To","Player  (174)","Pos","Yrs","Value                                                                         $2,233,147,414","AAV                                                                         $8,655,610"
"OAK","Rich Hill","SP","1","$6,000,000","$6,000,000"
"COL","Chad Qualls","RP","2","$6,000,000","$3,000,000"
"BAL","Pedro Alvarez","1B","1","$5,750,000","$5,750,000"
"NYM","Alejandro De Aza","LF","1","$5,750,000","$5,750,000"
"SEA","Nori Aoki","LF","1","$5,500,000","$5,500,000"
"ATL","Tyler Flowers","C","2","$5,300,000","$2,650,000"
"CLE","Rajai Davis","CF","1","$5,250,000","$5,250,000"
"STL","Brayan Pena","C","2","$5,000,000","$2,500,000"
"CHW","Austin Jackson","CF","1","$5,000,000","$5,000,000"
"TB","Steven Pearce","1B/LF","1","$4,750,000","$4,750,000"
"CHC","Trevor Cahill","SP","1","$4,250,000","$4,250,000"
"OAK","Henderson Alvarez III","SP","1","$4,250,000","$4,250,000"
"SEA","Chris Iannetta","C","1","$4,250,000","$4,250,000"
"SEA","Dae-ho Lee","1B","1","$4,000,000","$4,000,000"
"LAD","Joe Blanton","RP","1","$4,000,000","$4,000,000"
"CLE","Juan Uribe","3B","1","$4,000,000","$4,000,000"
"CHW","Dioner Navarro","C","1","$4,000,000","$4,000,000"
"SD","Alexei Ramírez","SS","1","$4,000,000","$4,000,000"
"NYM","Jerry Blevins","RP","1","$4,000,000","$4,000,000"
"PIT","Neftali Feliz","RP","1","$3,900,000","$3,900,000"
"PHI","David Hernandez","RP","1","$3,900,000","$3,900,000"
"LAA","Cliff Pennington","SS","2","$3,750,000","$1,875,000"
"TEX","Tony Barnette","RP","2","$3,500,000","$1,750,000"
"CHW","Mat Latos","SP","1","$3,000,000","$3,000,000"
"WSH","Stephen Drew","2B/SS","1","$3,000,000","$3,000,000"
"ATL","A.J. Pierzynski","C","1","$3,000,000","$3,000,000"
"WSH","Yusmeiro Petit","RP","1","$3,000,000","$3,000,000"
"PIT","Juan Nicasio","RP","1","$3,000,000","$3,000,000"
"PIT","David Freese","1B","1","$3,000,000","$3,000,000"
"LAA","Geovany Soto","C","1","$2,800,000","$2,800,000"
"COL","Mark Reynolds","3B/1B","1","$2,600,000","$2,600,000"
"STL","Seunghwan Oh","RP","1","$2,500,000","$2,500,000"
"ATL","Jim Johnson","RP","1","$2,500,000","$2,500,000"
"MIL","Chris Carter","1B","1","$2,500,000","$2,500,000"
"PIT","Sean Rodriguez","2B","1","$2,500,000","$2,500,000"
"CHW","Alex Avila","C","1","$2,500,000","$2,500,000"
"ATL","Bud Norris","RP","1","$2,500,000","$2,500,000"
"LAA","Tim Lincecum","RP","1","$2,500,000","$2,500,000"
"CHW","Matt Albers","RP","1","$2,250,000","$2,250,000"
"TOR","Franklin Morales","RP","1","$2,000,000","$2,000,000"
"ATL","Kelly Johnson","2B","1","$2,000,000","$2,000,000"
"PIT","Ryan Vogelsong","SP","1","$2,000,000","$2,000,000"
"SD","Fernando Rodney","RP","1","$2,000,000","$2,000,000"
"BOS","David Murphy","DH","1","$2,000,000","$2,000,000"
"CIN","Alfredo Simon","SP/SP2","1","$2,000,000","$2,000,000"
"DET","Mike Aviles","3B/SS/2B","1","$2,000,000","$2,000,000"
"CLE","Tommy Hunter","RP","1","$2,000,000","$2,000,000"
"PIT","Eric O'Flaherty","RP","1","$1,750,000","$1,750,000"
"TEX","Justin Ruggiano","RF","1","$1,650,000","$1,650,000"
"CHW","Jacob Turner","RP","1","$1,500,000","$1,500,000"
"PHI","James Russell","RP","1","$1,500,000","$1,500,000"
"SD","Carlos Villanueva","RP","1","$1,500,000","$1,500,000"
"SEA","Franklin Gutierrez","CF","1","$1,500,000","$1,500,000"
"MIL","Chris Capuano","RP","1","$1,500,000","$1,500,000"
"CLE","Ryan Raburn","LF/RF","1","$1,500,000","$1,500,000"
"ARI","Rickie Weeks","1B","1","$1,500,000","$1,500,000"
"STL","Ruben Tejada","SS","1","$1,500,000","$1,500,000"
"MIA","Jeff Mathis","C","1","$1,500,000","$1,500,000"
"LAA","Daniel Nava","LF","1","$1,375,000","$1,375,000"
"ATL","Emilio Bonifacio","CF","1","$1,250,000","$1,250,000"
"SD","Jeremy Guthrie","SP/SP5","1","$1,250,000","$1,250,000"
"ATL","Gordon Beckham","2B","1","$1,250,000","$1,250,000"
"MIN","David Murphy","DH","1","$1,150,000","$1,150,000"
"SEA","Ryan Cook","RP","1","$1,100,000","$1,100,000"
"LAA","Al Alburquerque","RP","1","$1,100,000","$1,100,000"
"LAA","Craig Gentry","LF/RF","1","$1,000,000","$1,000,000"
"CLE","Ross Detwiler","RP","1","$1,000,000","$1,000,000"
"MIL","Eric Young Jr.","CF","1","$1,000,000","$1,000,000"
"TOR","Gavin Floyd","RP","1","$1,000,000","$1,000,000"
"CHW","Justin Morneau","1B","1","$1,000,000","$1,000,000"
"PIT","Matt Joyce","LF","1","$1,000,000","$1,000,000"
"MIL","Carlos Torres","RP","1","$950,000","$950,000"
"MIL","Blaine Boyer","RP","1","$950,000","$950,000"
"TOR","Josh Thole","C","1","$800,000","$800,000"
"SEA","Justin De Fratus","RP","1","$750,000","$750,000"
"LAD","Louis Coleman","RP","1","$750,000","$750,000"
"BAL","Ji-Man Choi","1B","1","$650,000","$650,000"
"CIN","Blake Wood","RP","1","$600,000","$600,000"
"TB","Jaff Decker","LF","1","$525,000","$525,000"
"SD","Ryan Buchter","RP","1","$520,000","$520,000"
"BAL","Zach Phillips","RP","1","$510,000","$510,000"
"LAD","Will Venable","CF","1","$507,500","$507,500"
"BAL","Tommy Hunter","RP","1","$507,500","$507,500"
"TB","Alexei Ramírez","SS","1","$507,500","$507,500"
"MIA","Edwin Jackson","SP/SP5","1","$507,500","$507,500"
"ATL","Maikel Cleto","RP","1","$507,500","$507,500"
"TEX","A.J. Griffin","RP","1","$507,500","$507,500"
"DET","Jarrod Saltalamacchia","C","1","$507,500","$507,500"
"CHC","Joe Nathan","RP","1","$507,500","$507,500"
"TB","Kevin Jepsen","RP","1","$507,500","$507,500"
"NYY","Billy Butler","DH","1","$49,914","$49,914"
"TEX","Drew Stubbs","CF","0","$0",""
"SF","Ricky Romero","SP","0","$0",""
"SD","Scott Snodgress","SP","0","$0",""
"ARI","Carlos Rivero","SS","0","$0",""
"SEA","Steve Johnson","RP","0","$0",""
"CIN","Angelo Gumbs","SS","0","$0",""
"CHC","Tim Federowicz","C","1","$0","$0"
"LAA","Kyle Kendrick","SP","1","$0","$0"
"DET","Jake Brigham","RP","1","$0","$0"
"MIN","Fernando Abad","RP","1","$0","$0"
"LAD","Lisalverto Bonilla","RP","0","$0",""
"BAL","Jeff Beliveau","RP","1","$0","$0"
"KC","Travis Snider","RF","1","$0","$0"
"SD","Clayton Richard","RP","0","$0",""
"ATL","Kyle Kendrick","SP","1","$0","$0"
"CHW","Chris Volstad","RP","1","$0","$0"
"TEX","Steve Johnson","RP","1","$0","$0"
"SD","Brandon Morrow","RP","1","$0","$0"
"SD","Mike Olt","3B","1","$0","$0"
"SD","Frank Garces","RP","1","$0","$0"
"NYM","René Rivera","C","1","$0","$0"
"BOS","Anthony Varvaro","RP","1","$0","$0"
"SD","James Loney","1B","0","$0",""
"ATL","Omar Infante","2B","0","$0",""
"TEX","Jeremy Guthrie","SP/SP5","1","$0","$0"
"TOR","Maicer Izturis","2B/3B","1","$0","$0"
"MIA","Chris Johnson","3B/1B","1","$0","$0"
"PIT","Cory Luebke","RP","1","$0","$0"
"KC","Brian Duensing","RP","1","$0","$0"
"CHC","Josh Collmenter","RP","0","$0",""
"BAL","Logan Ondrusek","RP","0","$0",""

